[GIN] 2026/03/15 - 03:02:32 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms"
[GIN] 2026/03/15 - 03:02:32 | 200 |     12.7452ms |       127.0.0.1 | POST     "/rooms"
[GIN] 2026/03/15 - 03:02:33 | 200 |      1.1587ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:33 | 200 |     61.3522ms |       127.0.0.1 | GET      "/ws/620456?player_id=628"
[GIN] 2026/03/15 - 03:02:35 | 200 |            0s |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/15 - 03:02:35 | 200 |      3.8627ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:02:35 | 200 |       507.1µs |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:02:35 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms/join"
[GIN] 2026/03/15 - 03:02:35 | 200 |      4.0946ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/15 - 03:02:35 | 200 |      1.7144ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:35 | 200 |      1.9709ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:02:35 | 200 |      3.5632ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:35 | 200 |      6.5578ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:35 | 200 |      3.1608ms |       127.0.0.1 | GET      "/ws/620456?player_id=629"
[GIN] 2026/03/15 - 03:02:36 | 200 |       513.8µs |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:02:36 | 200 |            0s |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/15 - 03:02:36 | 200 |      1.1339ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:02:36 | 200 |      3.1925ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/15 - 03:02:36 | 200 |      2.8463ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:36 | 200 |      2.6124ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:36 | 200 |      2.5314ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:02:36 | 200 |      5.8718ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:36 | 200 |      5.4015ms |       127.0.0.1 | GET      "/ws/620456?player_id=630"
[GIN] 2026/03/15 - 03:02:36 | 200 |      4.7819ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:36 | 200 |      1.1956ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:38 | 200 |      8.3372ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:02:38 | 200 |            0s |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/15 - 03:02:38 | 200 |         509µs |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:02:38 | 200 |      2.8021ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/15 - 03:02:38 | 200 |       4.589ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:38 | 200 |       4.254ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:38 | 200 |      3.0474ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 03:02:38 | 200 |       6.553ms |       127.0.0.1 | GET      "/rooms/620456"
[GIN] 2026/03/15 - 03:02:38 | 200 |      5.4779ms |       127.0.0.1 | GET      "/ws/620456?player_id=631"
