[GIN] 2026/03/15 - 04:39:39 | 204 |       673.5µs |       127.0.0.1 | OPTIONS  "/rooms"
[GIN] 2026/03/15 - 04:39:39 | 200 |      4.5848ms |       127.0.0.1 | POST     "/rooms"
[GIN] 2026/03/15 - 04:39:40 | 200 |      2.3314ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:39:41 | 200 |    101.9657ms |       127.0.0.1 | GET      "/ws/864612?player_id=638"
[GIN] 2026/03/15 - 04:39:52 | 200 |       999.8µs |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/15 - 04:39:52 | 200 |      6.3028ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 04:39:55 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms/join"
[GIN] 2026/03/15 - 04:39:55 | 200 |      3.6924ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/15 - 04:39:55 | 200 |       506.3µs |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/15 - 04:39:55 | 200 |      2.8259ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:39:55 | 200 |       3.363ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:39:55 | 200 |      1.5139ms |       127.0.0.1 | GET      "/ws/864612?player_id=639"
[GIN] 2026/03/15 - 04:39:55 | 200 |      1.5139ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:00 | 200 |     21.6369ms |       127.0.0.1 | POST     "/rooms/864612/start?player_id=638"
[GIN] 2026/03/15 - 04:40:00 | 200 |       1.347ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:00 | 200 |      1.6246ms |       127.0.0.1 | GET      "/ws/864612?player_id=638"
[GIN] 2026/03/15 - 04:40:00 | 200 |      6.1495ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:40:00 | 200 |      1.3115ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:00 | 200 |      8.9506ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:40:00 | 200 |      2.3367ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:00 | 200 |      4.0829ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:40:00 | 200 |     74.4901ms |       127.0.0.1 | GET      "/ws/864612?player_id=639"
[GIN] 2026/03/15 - 04:40:12 | 200 |      4.8954ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:40:12 | 200 |     18.1481ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:13 | 200 |      4.1467ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:13 | 200 |     15.7457ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:40:24 | 200 |       640.9µs |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:24 | 200 |      4.8458ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:40:25 | 200 |      1.5471ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:25 | 200 |     15.1791ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:40:36 | 200 |      1.0275ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:36 | 200 |      9.2854ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:40:37 | 200 |         8.9ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:37 | 200 |     13.8292ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:40:48 | 200 |      1.4632ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:48 | 200 |      3.2673ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:40:49 | 200 |       3.709ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:40:49 | 200 |     16.9115ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
[GIN] 2026/03/15 - 04:41:00 | 200 |       506.9µs |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:41:00 | 200 |      2.6633ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=639"
[GIN] 2026/03/15 - 04:41:01 | 200 |      1.8147ms |       127.0.0.1 | GET      "/rooms/864612"
[GIN] 2026/03/15 - 04:41:01 | 200 |     15.5356ms |       127.0.0.1 | GET      "/rooms/864612/progress?player_id=638"
