[GIN] 2026/03/14 - 02:35:45 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms"
[GIN] 2026/03/14 - 02:35:45 | 200 |     33.5321ms |       127.0.0.1 | POST     "/rooms"
[GIN] 2026/03/14 - 02:35:46 | 200 |      3.5451ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:35:47 | 200 |     76.0808ms |       127.0.0.1 | GET      "/ws/997020?player_id=504"
[GIN] 2026/03/14 - 02:35:50 | 200 |      1.5017ms |       127.0.0.1 | GET      "/ws/global"
[GIN] 2026/03/14 - 02:35:50 | 200 |     15.6469ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/14 - 02:35:51 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rooms/join"
[GIN] 2026/03/14 - 02:35:51 | 200 |      5.7286ms |       127.0.0.1 | POST     "/rooms/join"
[GIN] 2026/03/14 - 02:35:51 | 200 |      1.5365ms |       127.0.0.1 | GET      "/rooms"
[GIN] 2026/03/14 - 02:35:51 | 200 |      5.4351ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:35:51 | 200 |      4.1104ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:35:51 | 200 |      3.2654ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:35:51 | 200 |       3.692ms |       127.0.0.1 | GET      "/ws/997020?player_id=505"
[GIN] 2026/03/14 - 02:35:52 | 200 |      9.0135ms |       127.0.0.1 | POST     "/rooms/997020/start?player_id=504"
[GIN] 2026/03/14 - 02:35:52 | 200 |       1.774ms |       127.0.0.1 | GET      "/ws/997020?player_id=504"
[GIN] 2026/03/14 - 02:35:52 | 200 |      2.2804ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:35:52 | 200 |      1.1979ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:35:52 | 200 |      2.3285ms |       127.0.0.1 | GET      "/ws/997020?player_id=505"
[GIN] 2026/03/14 - 02:35:56 | 200 |     13.6394ms |       127.0.0.1 | POST     "/rooms/997020/round/start?player_id=504"
[GIN] 2026/03/14 - 02:35:58 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/32/submit"
[GIN] 2026/03/14 - 02:35:58 | 200 |     13.8148ms |       127.0.0.1 | POST     "/rounds/32/submit"
[GIN] 2026/03/14 - 02:35:58 | 200 |      1.5693ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:35:58 | 200 |      1.1287ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:01 | 200 |     10.6486ms |       127.0.0.1 | POST     "/rooms/997020/round/start?player_id=504"
[GIN] 2026/03/14 - 02:36:04 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/33/submit"
[GIN] 2026/03/14 - 02:36:04 | 200 |     13.2411ms |       127.0.0.1 | POST     "/rounds/33/submit"
[GIN] 2026/03/14 - 02:36:04 | 200 |      2.5038ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:04 | 200 |       7.517ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:07 | 200 |      8.9352ms |       127.0.0.1 | POST     "/rooms/997020/round/start?player_id=504"
[GIN] 2026/03/14 - 02:36:09 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/34/submit"
[GIN] 2026/03/14 - 02:36:09 | 200 |     13.0336ms |       127.0.0.1 | POST     "/rounds/34/submit"
[GIN] 2026/03/14 - 02:36:10 | 200 |      1.0366ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:10 | 200 |      1.0366ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:13 | 200 |      4.8525ms |       127.0.0.1 | POST     "/rooms/997020/round/start?player_id=504"
[GIN] 2026/03/14 - 02:36:15 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/35/submit"
[GIN] 2026/03/14 - 02:36:15 | 200 |     12.9071ms |       127.0.0.1 | POST     "/rounds/35/submit"
[GIN] 2026/03/14 - 02:36:15 | 200 |      1.5235ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:15 | 200 |      1.0425ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:18 | 200 |     13.1338ms |       127.0.0.1 | POST     "/rooms/997020/round/start?player_id=504"
[GIN] 2026/03/14 - 02:36:21 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/36/submit"
[GIN] 2026/03/14 - 02:36:21 | 200 |     10.7104ms |       127.0.0.1 | POST     "/rounds/36/submit"
[GIN] 2026/03/14 - 02:36:21 | 200 |      1.2482ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:21 | 200 |       2.446ms |       127.0.0.1 | GET      "/rooms/997020"
[GIN] 2026/03/14 - 02:36:24 | 200 |     17.4819ms |       127.0.0.1 | POST     "/rooms/997020/round/start?player_id=504"
[GIN] 2026/03/14 - 02:36:26 | 204 |            0s |       127.0.0.1 | OPTIONS  "/rounds/37/submit"
